"filename", "language", "TypeScript", "SCSS", "HTML", "CSS", "JSON", "comment", "blank", "total"
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\subjects\subject-form\subject-form.component.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\subjects\subject-form\subject-form.component.html", "HTML", 0, 0, 44, 0, 0, 0, 13, 57
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\subjects\subject-form\subject-form.component.spec.ts", "TypeScript", 22, 0, 0, 0, 0, 1, 6, 29
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\subjects\subject-form\subject-form.component.ts", "TypeScript", 70, 0, 0, 0, 0, 0, 7, 77
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\subjects\subjects-list\subjects-list.component.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\subjects\subjects-list\subjects-list.component.html", "HTML", 0, 0, 33, 0, 0, 0, 10, 43
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\subjects\subjects-list\subjects-list.component.spec.ts", "TypeScript", 22, 0, 0, 0, 0, 1, 6, 29
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\subjects\subjects-list\subjects-list.component.ts", "TypeScript", 85, 0, 0, 0, 0, 0, 12, 97
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\routing\app-routing.module.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 5, 43
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\services\authorization-service\authorization.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 1, 4, 17
